=====Memory Test by xhxhkh======= 
Start time:  8:15:08.51 
[ 8:15:08.52] CPU used:[0] 
[ 8:15:08.81] CPU used:[387.7892] 
[ 8:15:09.35] CPU used:[402.4655] 
[ 8:15:09.88] CPU used:[396.6686] 
[ 8:15:10.42] CPU used:[348.7682] 
[ 8:15:10.96] CPU used:[408.9174] 
[ 8:15:11.50] CPU used:[385.8154] 
[ 8:15:12.03] CPU used:[402.6861] 
[ 8:15:12.59] CPU used:[396.8969] 
[ 8:15:13.12] CPU used:[390.8736] 
[ 8:15:13.65] CPU used:[397.1042] 
[ 8:15:14.19] CPU used:[402.922] 
[ 8:15:14.74] CPU used:[393.4846] 
[ 8:15:15.48] CPU used:[378.8596] 
[ 8:15:16.01] CPU used:[390.8961] 
[ 8:15:16.56] CPU used:[387.9216] 
[ 8:15:17.11] CPU used:[387.9797] 
[ 8:15:17.64] CPU used:[396.8995] 
[ 8:15:18.21] CPU used:[384.639] 
[ 8:15:18.73] CPU used:[252.5613] 
[ 8:15:19.26] CPU used:[396.8464] 
[ 8:15:19.81] CPU used:[393.8916] 
[ 8:15:20.35] CPU used:[402.7737] 
[ 8:15:20.89] CPU used:[390.8751] 
[ 8:15:21.41] CPU used:[387.8912] 
[ 8:15:21.94] CPU used:[384.8708] 
[ 8:15:22.50] CPU used:[390.8772] 
[ 8:15:23.03] CPU used:[396.4369] 
[ 8:15:23.57] CPU used:[333.7648] 
[ 8:15:24.12] CPU used:[379.0414] 
[ 8:15:24.66] CPU used:[399.758] 
[ 8:15:25.21] CPU used:[402.6726] 
[ 8:15:25.74] CPU used:[401.7874] 
[ 8:15:26.29] CPU used:[386.4159] 
[ 8:15:26.85] CPU used:[390.8793] 
[ 8:15:27.41] CPU used:[364.6281] 
[ 8:15:27.96] CPU used:[382.2633] 
[ 8:15:28.55] CPU used:[382.136] 
[ 8:15:29.11] CPU used:[379.8752] 
[ 8:15:29.66] CPU used:[369.8089] 
[ 8:15:30.24] CPU used:[364.8658] 
[ 8:15:30.80] CPU used:[385.1295] 
[ 8:15:31.39] CPU used:[402.1058] 
[ 8:15:31.98] CPU used:[377.4568] 
[ 8:15:32.54] CPU used:[379.3514] 
[ 8:15:33.11] CPU used:[376.7239] 
[ 8:15:33.67] CPU used:[379.5559] 
[ 8:15:34.26] CPU used:[399.3972] 
[ 8:15:34.84] CPU used:[385.3092] 
[ 8:15:35.43] CPU used:[385.053] 
[ 8:15:36.02] CPU used:[388.1335] 
[ 8:15:36.61] CPU used:[390.8343] 
[ 8:15:37.20] CPU used:[382.8606] 
[ 8:15:37.81] CPU used:[361.0265] 
[ 8:15:38.40] CPU used:[400.4382] 
[ 8:15:39.02] CPU used:[371.8897] 
[ 8:15:39.62] CPU used:[390.8842] 
[ 8:15:40.23] CPU used:[388.1323] 
[ 8:15:40.85] CPU used:[377.4991] 
[ 8:15:41.45] CPU used:[376.8851] 
[ 8:15:42.10] CPU used:[382.5476] 
[ 8:15:42.75] CPU used:[355.2169] 
[ 8:15:43.38] CPU used:[388.1183] 
[ 8:15:44.03] CPU used:[373.8816] 
[ 8:15:44.66] CPU used:[375.1758] 
[ 8:15:45.31] CPU used:[366.111] 
[ 8:15:45.94] CPU used:[372.5377] 
[ 8:15:46.58] CPU used:[371.0689] 
[ 8:15:47.18] CPU used:[367.9472] 
[ 8:15:47.77] CPU used:[387.8961] 
[ 8:15:48.56] CPU used:[361.003] 
[ 8:15:49.19] CPU used:[366.6989] 
[ 8:15:49.79] CPU used:[364.781] 
[ 8:15:50.46] CPU used:[370.1709] 
[ 8:15:51.29] CPU used:[377.5749] 
[ 8:15:51.90] CPU used:[363.1903] 
[ 8:15:52.52] CPU used:[371.1393] 
[ 8:15:53.13] CPU used:[374.5231] 
[ 8:15:53.76] CPU used:[368.6086] 
[ 8:15:54.31] CPU used:[380.8998] 
[ 8:15:54.91] CPU used:[337.7366] 
[ 8:15:55.54] CPU used:[370.8227] 
